id,components
336,"dextran 70, tetrahydrozoline hydrochloride, povidone, polyethylene glycol 400"
337,"silicon dioxide, .alpha.-tocopherol acetate"
338,hydromorphone hydrochloride
339,"centella asiatica leaf, echinacea purpurea, sambucus nigra flower"
340,"octinoxate, oxybenzone"
341,"docusate sodium, sennosides"
342,"dextromethorphan hydrobromide, phenylephrine hydrochloride, acetaminophen, doxylamine succinate"
343,"clavulanate potassium, amoxicillin"
344,"arnica montana flower, capsaicin"
345,"aloe, glutamic acid"
346,"dyclonine hydrochloride, benzethonium chloride"
347,"homosalate, octisalate, avobenzone, octocrylene"
348,"chlorpheniramine maleate, ephedrine hydrochloride, acetaminophen, guaifenesin"
349,"sodium phosphate, tribasic, dodecahydrate"
350,"allantoin, glycerin"
351,arbutin
352,aluminum chlorohydrate anhydrous
353,"niacinamide, adenosine, dimethicone"
354,plantago ovata seed
355,"alcloxa, calcium phosphate, dibasic, anhydrous, aminocaproic acid, calcium carbonate"
356,"ephedrine hydrochloride, acetaminophen, guaifenesin"
357,methyl salicylate
358,"sodium fluoride, sodium monofluorophosphate"
359,histidine
360,bisacodyl
361,levocetirizine dihydrochloride
362,"menthol, unspecified form, camphor (synthetic)"
363,vancomycin hydrochloride
364,modafinil
365,indomethacin
366,"menthol, unspecified form, trolamine salicylate"
367,"pork collagen, glycerin"
368,phenol
369,taurine
370,minocycline hydrochloride
371,ascorbic acid
372,daptomycin
373,ketamine hydrochloride
374,"buprenorphine hydrochloride, naloxone hydrochloride dihydrate"
375,metronidazole
376,voriconazole
377,azacitidine
378,busulfan
379,"chrysanthemum indicum flower, artemisia argyi leaf, mentha arvensis leaf"
380,memantine hydrochloride
381,"menthol, camphor (natural)"
382,panax ginseng root water
383,hyaluronate sodium
384,guaifenesin
385,"octocrylene, octisalate, octinoxate, titanium dioxide, zinc oxide"
386,minoxidil
387,estradiol acetate
388,pioglitazone hydrochloride
389,clindamycin phosphate
390,entecavir
391,cyclophosphamide
392,linezolid
393,clomipramine hydrochloride
394,fludeoxyglucose f-18
395,evolocumab
396,"hydrochlorothiazide, telmisartan"
397,cetirizine hydrochloride
398,"cynodon dactylon, ambrosia artemisiifolia, juniperus scopulorum pollen, white mulberry, juniperus ashei pollen, alternaria alternata, ustilago maydis, passalora fulva, olea europaea flower, nerium oleander flower"
399,"ambrosia artemisiifolia, juniperus scopulorum pollen, schoenocaulon officinale seed, white mulberry, juniperus ashei pollen, alternaria alternata, ustilago maydis, passalora fulva, olea europaea flower, nerium oleander flower, histamine dihydrochloride"
400,"salicylic acid, panthenol, menthol"
401,"thyroid, unspecified, tin, phytolacca americana root, semecarpus anacardium juice, fucus vesiculosus, zinc, barium iodide, acetic acid, sodium sulfide nonahydrate, oyster shell calcium carbonate, crude, capsicum, graphite"
402,acyclovir
403,"menthol, unspecified form, camphor (synthetic), capsaicin"
404,"menthol, unspecified form, capsaicin"
405,"lidocaine, menthol, dimethicone, camphor (natural)"
406,"octisalate, avobenzone, homosalate"
407,"matricaria chamomilla, calendula officinalis flowering top, silicon dioxide, bellis perennis, arnica montana"
408,loratadine
409,"2000 mw), hydrolyzed soy protein (enzymatic, glycerin"
410,"saccharomyces cerevisiae, glycerin"
411,garcinia cambogia fruit
412,sulfur
413,"acetaminophen, caffeine"
414,"dextromethorphan hydrobromide, acetaminophen, doxylamine succinate"
415,"dextroamphetamine sulfate, amphetamine aspartate monohydrate, amphetamine sulfate, dextroamphetamine saccharate"
416,metformin hydrochloride
417,ranolazine
418,"avenanthramides, glycerin"
419,"octinoxate, avobenzone, octocrylene"
